Unfurnished,Semi-Furnished,Furnished,Area_sqft,Price,BHK
1,0,0,2700,232,3
0,0,1,2835,225,4
0,1,0,2861,420,4
1,0,0,3000,400,4
1,0,0,3000,430,4
0,1,0,3000,450,4
0,1,0,3000,365,4
0,1,0,3000,400,4
0,1,0,3000,425,4
0,1,0,3000,450,4
0,1,0,3050,425,4
0,1,0,3066,450,4
0,1,0,3072,445,5
1,0,0,3100,520,5
0,1,0,3200,460,4
1,0,0,3260,425,4
1,0,0,3300,385,4
1,0,0,3340,449,4
0,1,0,3350,437,4
1,0,0,3400,455,4
0,1,0,3400,375,4
0,1,0,3400,420,4
0,0,1,3400,265,3
1,0,0,3500,430,4
1,0,0,3500,375,4
1,0,0,3500,415,4
1,0,0,3500,410,4
0,1,0,3500,385,4
0,1,0,3500,400,4
0,1,0,3600,375,4
0,1,0,3800,370,4
1,0,0,3900,370,4
1,0,0,3900,385,4
1,0,0,4088,440,4
0,1,0,4088,435,4
1,0,0,4100,380,4
1,0,0,4200,450,4
0,1,0,4250,419,5
1,0,0,4455,410,4
1,0,0,4500,650,5
1,0,0,4500,950,5
1,0,0,4500,750,5
0,1,0,4500,410,5
1,0,0,5650,450,4
1,0,0,6200,900,5
1,0,0,6200,950,5
