Unfurnished,Semi-Furnished,Furnished,Furnishing,Area_sqft,Price,BHK
0,1,0,Semi-Furnished,333,18.2,1
0,1,0,Semi-Furnished,638,52,2
1,0,0,Unfurnished,657,50,2
0,1,0,Semi-Furnished,640,55,2
1,0,0,Unfurnished,1000,75,3
1,0,0,Unfurnished,657,47,2
1,0,0,Unfurnished,1000,80,3
1,0,0,Unfurnished,658,65.3,2
1,0,0,Unfurnished,660,60,2
1,0,0,Unfurnished,1003,75,3
1,0,0,Unfurnished,664,65,2
1,0,0,Unfurnished,664,63,2
1,0,0,Unfurnished,665,66,2
0,0,1,Furnished,574,27.3,3
1,0,0,Unfurnished,1011,80,3
1,0,0,Unfurnished,1022,87,3
0,1,0,Semi-Furnished,646,65,2
1,0,0,Unfurnished,665,57.1,2
1,0,0,Unfurnished,665,56.3,2
0,0,1,Furnished,655,72.5,2
1,0,0,Unfurnished,1024,80,3
1,0,0,Unfurnished,668,60.5,2
1,0,0,Unfurnished,1025,100,3
1,0,0,Unfurnished,669,66,2
1,0,0,Unfurnished,670,67,2
1,0,0,Unfurnished,386,22,1
1,0,0,Unfurnished,670,59.9,2
1,0,0,Unfurnished,1025,110,3
1,0,0,Unfurnished,672,65.5,2
1,0,0,Unfurnished,674,60,2
1,0,0,Unfurnished,675,59,2
1,0,0,Unfurnished,675,55.8,2
0,1,0,Semi-Furnished,646,68,2
1,0,0,Unfurnished,1030,84,3
1,0,0,Unfurnished,675,55.8,2
1,0,0,Unfurnished,675,72,2
1,0,0,Unfurnished,675,47,2
1,0,0,Unfurnished,1031,83,3
0,1,0,Semi-Furnished,650,60,2
1,0,0,Unfurnished,678,59.8,2
0,1,0,Semi-Furnished,655,63.7,2
1,0,0,Unfurnished,680,67.9,2
1,0,0,Unfurnished,680,48,2
1,0,0,Unfurnished,688,64,2
1,0,0,Unfurnished,688,65,2
1,0,0,Unfurnished,688,63.5,2
1,0,0,Unfurnished,688,57.6,2
1,0,0,Unfurnished,688,64,2
